carta,era,cargo,peso_sorteio,peso_dramatico,tipo,total_1000_carreiras,Destro,Canhoto,Vitinho,Dembele,Viciado,Elon Musk,Gabigol,CR7,Diego Ribas,Bruno
capitao_travessia_04,travessia/auge,capitao,9,padrao,evento,86,0,0,1,3,47,0,0,0,1,34
capitao_auge_01,auge,capitao,9,padrao,evento,42,0,0,0,0,23,0,0,0,0,19
capitao_auge_02,auge,capitao,11,importante,arco,34,0,0,0,0,17,0,0,0,0,17
capitao_auge_03,auge,capitao,10,padrao,evento,41,0,0,0,0,24,0,0,0,0,17
capitao_auge_04,auge,capitao,6,padrao,rotina,28,0,0,0,0,16,0,0,0,0,12
capitao_auge_05,auge,capitao,9,padrao,evento,36,0,0,0,0,20,0,0,0,0,16
capitao_almeida_01,estouro,capitao,10,padrao,evento,44,5,1,2,5,20,2,0,0,2,7
capitao_almeida_02,travessia,capitao,10,padrao,evento,32,0,0,1,0,23,0,0,0,0,8
capitao_almeida_03,auge,capitao,12,importante,arco,17,0,0,0,0,12,0,0,0,0,5
capitao_almeida_04,auge,capitao,9,padrao,evento,10,0,0,0,0,6,0,0,0,0,4
capitao_almeida_05,auge,capitao,9,padrao,evento,13,0,0,0,0,10,0,0,0,0,3
capitao_setubal_01,estouro,capitao,10,padrao,evento,30,3,0,3,5,5,3,0,0,1,10
capitao_setubal_02,travessia,capitao,11,padrao,evento,13,0,0,0,2,8,0,0,0,0,3
capitao_setubal_03,auge,capitao,12,importante,arco,1,0,0,0,0,1,0,0,0,0,0
capitao_setubal_04,auge,capitao,9,padrao,evento,6,0,0,0,0,4,0,0,0,0,2
capitao_setubal_05,auge,capitao,10,padrao,evento,6,0,0,0,0,5,0,0,0,0,1
capitao_bonfim_01,estouro,capitao,10,padrao,evento,32,0,1,3,1,7,5,0,0,2,13
capitao_bonfim_02,travessia,capitao,12,importante,arco,27,0,0,0,1,9,0,0,0,0,17
capitao_bonfim_03,auge,capitao,12,importante,arco,9,0,0,0,0,3,0,0,0,0,6
capitao_bonfim_04,auge,capitao,12,importante,arco,12,0,0,0,0,7,0,0,0,0,5
capitao_bonfim_05,auge,capitao,9,padrao,evento,9,0,0,0,0,5,0,0,0,0,4
capitao_duda_01,estouro,capitao,10,padrao,evento,17,0,0,1,1,9,0,0,0,0,6
capitao_duda_02,travessia,capitao,12,legado,evento,25,0,0,0,0,13,0,0,0,0,12
capitao_duda_03,auge,capitao,12,importante,arco,12,0,0,0,0,5,0,0,0,0,7
capitao_duda_04,auge,capitao,9,padrao,evento,11,0,0,0,0,5,0,0,0,0,6
capitao_duda_05,auge,capitao,9,padrao,evento,5,0,0,0,0,3,0,0,0,0,2
companheira_01,travessia,companheira,12,importante,arco,81,0,0,1,1,54,0,0,0,0,25
companheira_pedagio,travessia,companheira,0,importante,arco,0,0,0,0,0,0,0,0,0,0,0
companheira_carreira_01,travessia,companheira,12,padrao,evento,0,0,0,0,0,0,0,0,0,0,0
companheira_carreira_02,travessia/auge,companheira,11,padrao,evento,0,0,0,0,0,0,0,0,0,0,0
companheira_ruptura,auge,companheira,11,importante,arco,0,0,0,0,0,0,0,0,0,0,0
companheira_distancia_01,travessia/auge,companheira,12,importante,arco,0,0,0,0,0,0,0,0,0,0,0
companheira_distancia_02,auge,companheira,14,importante,arco,0,0,0,0,0,0,0,0,0,0,0
companheira_auge_01,auge,companheira,6,padrao,rotina,3,0,0,0,0,1,0,0,0,0,2
companheira_auge_02,auge,companheira,9,padrao,evento,6,0,0,0,0,3,0,0,0,0,3
companheira_auge_03,auge,companheira,11,importante,evento,2,0,0,0,0,1,0,0,0,0,1
companheira_declinio_01,declinio,companheira,10,padrao,evento,0,0,0,0,0,0,0,0,0,0,0
companheira_declinio_02,declinio,companheira,12,importante,arco,4,0,0,0,0,3,0,0,0,0,1
companheira_declinio_03,declinio,companheira,6,padrao,rotina,6,0,0,0,0,4,0,0,0,0,2
companheira_legado_01,legado,companheira,11,importante,arco,8,0,0,0,0,5,0,0,0,0,3
companheira_legado_02,legado,companheira,10,padrao,evento,6,0,0,0,0,3,0,0,0,0,3
companheira_ausencia,travessia/auge/declinio,companheira,7,padrao,rotina,91,0,0,0,2,51,0,0,0,0,38
coord_base_01,base,coord_base,10,padrao,evento,255,26,27,34,26,19,25,18,16,28,36
coord_base_02,base,coord_base,6,padrao,rotina,175,13,16,19,14,17,23,11,15,20,27
coord_base_03,base,coord_base,10,padrao,evento,254,26,21,17,31,34,31,15,25,31,23
coord_base_04,base,coord_base,6,padrao,rotina,175,20,10,23,16,28,18,8,14,24,14
coord_base_05,base,coord_base,11,padrao,evento,273,27,24,23,33,34,32,26,16,28,30
coord_base_06,base,coord_base,10,padrao,evento,268,25,24,22,35,39,30,13,12,35,33
coord_base_07,base,coord_base,6,padrao,rotina,164,14,14,15,18,20,22,11,12,22,16
coord_base_08,base,coord_base,9,padrao,evento,242,28,25,23,20,22,24,22,17,26,35
coord_base_09,base,coord_base,11,padrao,evento,301,29,25,40,31,34,45,17,21,27,32
coord_base_10,base,coord_base,10,padrao,evento,250,25,20,23,27,29,28,15,20,33,30
coord_base_11,base,coord_base,6,padrao,rotina,171,17,17,14,15,21,16,11,10,22,28
coord_base_12,base/estouro,coord_base,12,importante,arco,403,40,23,40,41,74,42,20,24,40,59
coord_base_legado_05,legado,coord_base,10,padrao,evento,31,0,0,0,0,15,0,0,0,0,16
coord_base_legado_06,legado,coord_base,6,padrao,rotina,22,0,0,0,0,13,0,0,0,0,9
coord_base_legado_01,legado,coord_base,12,legado,arco,26,0,0,0,0,10,0,0,0,0,16
coord_base_legado_02,legado,coord_base,9,padrao,evento,26,0,0,0,0,15,0,0,0,0,11
coord_base_legado_03,legado,coord_base,10,padrao,evento,30,0,0,0,0,10,0,0,0,0,20
coord_base_legado_04,legado,coord_base,14,padrao,evento,28,0,0,0,0,15,0,0,0,0,13
curto_estudo_b2,base,coord_base,0,importante,arco,47,0,10,4,7,3,0,3,0,14,6
curto_estudo_b3,base,mae,0,importante,arco,13,0,2,1,2,2,0,1,0,3,2
curto_pensao_b1,base,mae,3,importante,evento,78,10,3,4,8,15,8,3,4,10,13
curto_pensao_b2,base,mae,0,importante,arco,44,6,2,2,5,9,6,0,0,4,10
curto_oficina_b1,estouro,mae,3,importante,evento,42,3,0,4,1,16,1,0,0,6,11
curto_oficina_b2,estouro,mae,0,importante,arco,23,1,0,1,0,10,0,0,0,3,8
curto_apelido_b1,estouro,imprensa,3,importante,evento,42,0,1,2,4,14,3,0,0,1,17
curto_apelido_b2,estouro/travessia,roupeiro,0,importante,arco,34,0,0,1,2,13,1,0,0,0,17
curto_saudade_b1,travessia,companheira,3,importante,evento,31,0,0,1,2,17,0,0,0,0,11
curto_saudade_b2,travessia,empresario,0,importante,arco,23,0,0,0,1,14,0,0,0,0,8
curto_idioma_b1,travessia,capitao,3,importante,evento,33,0,0,0,0,20,1,0,0,0,12
curto_idioma_b2,travessia/auge,treinador,0,importante,arco,28,0,0,0,0,17,0,0,0,0,11
curto_tv_b1,auge,imprensa,3,importante,evento,15,0,0,0,0,10,0,0,0,0,5
curto_tv_b2,auge,empresario,0,importante,arco,12,0,0,0,0,7,0,0,0,0,5
curto_investe_b1,auge,roupeiro,3,importante,arco,19,0,0,0,0,9,0,0,0,0,10
curto_investe_b2,auge/declinio,empresario,0,importante,arco,19,0,0,0,0,9,0,0,0,0,10
curto_clinica_b1,declinio,fisio,3,importante,evento,8,0,0,0,0,3,0,0,0,0,5
curto_clinica_b2,declinio,companheira,0,importante,arco,7,0,0,0,0,2,0,0,0,0,5
curto_irmao_b1,declinio,mae,3,importante,evento,16,0,0,0,0,9,0,0,0,0,7
curto_irmao_b2,declinio,mae,0,importante,arco,12,0,0,0,0,6,0,0,0,0,6
curto_escolinha_b1,legado,coord_base,3,importante,evento,7,0,0,0,0,4,0,0,0,0,3
curto_escolinha_b2,legado,coord_base,0,importante,arco,4,0,0,0,0,2,0,0,0,0,2
curto_livro_b1,legado,imprensa,3,importante,evento,16,0,0,0,0,11,0,0,0,0,5
curto_livro_b2,legado,empresario,0,importante,arco,11,0,0,0,0,8,0,0,0,0,3
diretor_estouro_01,estouro,diretor,11,padrao,evento,80,4,0,4,7,35,6,0,0,3,21
diretor_estouro_02,estouro,diretor,9,importante,evento,111,5,0,5,7,48,8,0,0,6,32
diretor_estouro_03,estouro/travessia,diretor,6,padrao,rotina,124,3,1,6,5,51,7,0,0,5,46
diretor_travessia_01,travessia,diretor,12,importante,arco,29,0,0,0,1,11,1,0,0,0,16
diretor_travessia_02,travessia,diretor,9,padrao,evento,17,0,0,0,1,6,0,0,0,0,10
diretor_travessia_03,travessia,diretor,9,padrao,evento,23,0,0,0,1,8,0,0,0,0,14
diretor_travessia_04,travessia/auge,diretor,6,padrao,rotina,80,0,0,0,3,46,0,0,0,0,31
diretor_auge_01,auge,diretor,11,padrao,evento,43,0,0,0,0,23,0,0,0,0,20
diretor_auge_02,auge,diretor,12,legado,arco,48,0,0,0,1,28,0,0,0,0,19
diretor_auge_03,auge,diretor,10,importante,evento,43,0,0,0,0,26,0,0,0,0,17
diretor_auge_04,auge,diretor,10,padrao,evento,45,0,0,0,1,29,0,0,0,0,15
diretor_auge_05,auge/declinio,diretor,6,padrao,rotina,37,0,0,0,0,23,0,0,0,0,14
diretor_declinio_01,declinio,diretor,13,importante,arco,33,0,0,0,0,24,0,0,0,0,9
diretor_declinio_02,declinio,diretor,10,padrao,evento,21,0,0,0,0,14,0,0,0,0,7
diretor_declinio_03,declinio,diretor,11,padrao,evento,31,0,0,0,0,23,0,0,0,0,8
diretor_declinio_04,declinio,diretor,11,padrao,evento,0,0,0,0,0,0,0,0,0,0,0
valdir_base_01,base,empresario,12,importante,arco,304,31,21,39,24,41,40,19,17,36,36
valdir_base_02,base/estouro,empresario,20,importante,arco,127,0,21,21,12,19,37,0,0,2,15
valdir_base_03,base,empresario,9,padrao,evento,248,26,19,28,36,35,19,10,11,23,41
valdir_base_04,base,empresario,8,padrao,evento,204,21,20,20,23,24,23,12,11,21,29
valdir_estouro_01,estouro,empresario,12,importante,arco,24,0,0,4,3,8,1,0,0,0,8
valdir_estouro_02,estouro/travessia,empresario,14,legado,evento,0,0,0,0,0,0,0,0,0,0,0
valdir_estouro_03,estouro/travessia/auge,empresario,7,padrao,evento,179,2,0,8,13,88,8,0,0,3,57
valdir_estouro_04,estouro/travessia,empresario,11,legado,arco,192,5,2,10,17,76,17,0,0,4,61
valdir_estouro_05,estouro,empresario,9,padrao,evento,113,9,0,5,11,40,10,0,0,5,33
valdir_travessia_01,travessia,empresario,10,padrao,evento,28,0,0,0,3,10,0,0,0,0,15
valdir_travessia_02,travessia,empresario,11,padrao,evento,86,0,0,1,2,49,1,0,0,0,33
valdir_travessia_03,travessia/auge,empresario,10,importante,evento,89,0,0,1,4,48,0,0,0,0,36
valdir_travessia_04,travessia/auge/declinio,empresario,6,padrao,rotina,95,0,0,0,1,61,0,0,0,0,33
valdir_auge_01,auge,empresario,12,importante,arco,54,0,0,0,0,35,0,0,0,0,19
valdir_auge_02,auge,empresario,18,legado,arco,26,0,0,0,0,18,0,0,0,0,8
valdir_auge_03,auge,empresario,11,legado,arco,32,0,0,0,0,13,0,0,0,0,19
valdir_auge_04,auge/declinio,empresario,16,padrao,evento,9,0,0,0,0,6,0,0,0,0,3
valdir_declinio_01,declinio,empresario,12,importante,arco,39,0,0,0,0,21,0,0,0,0,18
valdir_declinio_02,declinio,empresario,11,importante,arco,22,0,0,0,0,10,0,0,0,0,12
valdir_declinio_03,declinio,empresario,10,padrao,evento,12,0,0,0,0,5,0,0,0,0,7
valdir_legado_01,legado,empresario,12,importante,arco,24,0,0,0,0,9,0,0,0,0,15
valdir_legado_02,legado,empresario,9,padrao,evento,12,0,0,0,0,5,0,0,0,0,7
filho_declinio_01,declinio/legado,filho,12,legado,arco,0,0,0,0,0,0,0,0,0,0,0
filho_declinio_02,declinio,filho,6,padrao,rotina,0,0,0,0,0,0,0,0,0,0,0
filho_declinio_03,declinio,filho,10,padrao,evento,0,0,0,0,0,0,0,0,0,0,0
filho_declinio_04,declinio,filho,10,padrao,evento,0,0,0,0,0,0,0,0,0,0,0
filho_declinio_05,declinio,filho,9,padrao,evento,0,0,0,0,0,0,0,0,0,0,0
filho_declinio_06,declinio,filho,6,padrao,rotina,0,0,0,0,0,0,0,0,0,0,0
filho_legado_01,legado,filho,13,importante,arco,0,0,0,0,0,0,0,0,0,0,0
filho_legado_02,legado,filho,10,legado,evento,0,0,0,0,0,0,0,0,0,0,0
filho_legado_03,legado,filho,9,padrao,evento,0,0,0,0,0,0,0,0,0,0,0
filho_legado_04,legado,filho,10,padrao,evento,0,0,0,0,0,0,0,0,0,0,0
fio_peneira_b2,estouro,fisio,0,importante,arco,23,3,0,0,1,10,3,0,0,1,5
fio_peneira_b3a,travessia/auge,imprensa,0,legado,arco,12,0,0,0,0,10,0,0,0,0,2
fio_peneira_b3b,travessia/auge,fisio,0,legado,arco,2,0,0,0,0,0,0,0,0,0,2
fio_apito_b2,estouro/travessia,treinador,0,importante,arco,33,4,0,0,0,15,2,0,0,2,10
fio_apito_b3a,auge/declinio,imprensa,0,legado,arco,13,0,0,0,0,7,0,0,0,0,6
fio_apito_b3b,auge/declinio,organizada,0,legado,arco,5,0,0,0,0,5,0,0,0,0,0
fio_tatuagem_b2,travessia/auge,capitao,0,importante,arco,30,0,0,0,1,18,0,0,0,0,11
fio_tatuagem_b3a,auge/declinio,imprensa,0,legado,arco,5,0,0,0,0,2,0,0,0,0,3
fio_tatuagem_b3b,auge/declinio,organizada,0,legado,arco,14,0,0,0,0,10,0,0,0,0,4
fio_carro_b2,travessia/auge,roupeiro,0,importante,arco,21,0,0,0,0,8,1,0,0,0,12
fio_carro_b3a,auge/declinio/legado,roupeiro,0,legado,arco,9,0,0,0,0,2,0,0,0,0,7
fio_carro_b3b,auge/declinio/legado,imprensa,0,legado,arco,6,0,0,0,0,2,0,0,0,0,4
fio_procuracao_b2,auge,empresario,0,importante,arco,2,0,0,0,0,1,0,0,0,0,1
fio_procuracao_b3a,declinio/legado,empresario,0,legado,arco,1,0,0,0,0,0,0,0,0,0,1
fio_procuracao_b3b,declinio/legado,companheira,0,legado,arco,1,0,0,0,0,1,0,0,0,0,0
fio_live_b2,auge/declinio,imprensa,0,importante,arco,44,0,0,0,0,28,0,0,0,0,16
fio_live_b3a,declinio/legado,organizada,0,legado,arco,13,0,0,0,0,9,0,0,0,0,4
fio_live_b3b,declinio/legado,imprensa,0,legado,arco,22,0,0,0,0,11,0,0,0,0,11
fio_var_b2,auge/declinio,imprensa,0,importante,arco,21,0,0,0,0,12,0,0,0,0,9
fio_var_b3a,declinio/legado,organizada,0,legado,arco,8,0,0,0,0,5,0,0,0,0,3
fio_var_b3b,declinio/legado,sucessor,0,legado,arco,9,0,0,0,0,3,0,0,0,0,6
fio_helicoptero_b2,auge/declinio,apostas,0,importante,arco,10,0,0,0,0,5,0,0,0,0,5
fio_helicoptero_b3a,declinio/legado,companheira,0,legado,arco,1,0,0,0,0,1,0,0,0,0,0
fio_helicoptero_b3b,declinio/legado,imprensa,0,legado,arco,3,0,0,0,0,1,0,0,0,0,2
fio_selecao_b2,auge/declinio,treinador,0,importante,arco,9,0,0,0,0,7,0,0,0,0,2
fio_selecao_b3a,declinio/legado,imprensa,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_selecao_b3b,declinio/legado,filho,0,legado,arco,4,0,0,0,0,2,0,0,0,0,2
fio_duzentos_b2,declinio,sucessor,0,importante,arco,0,0,0,0,0,0,0,0,0,0,0
fio_duzentos_b3a,declinio/legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_duzentos_b3b,declinio/legado,imprensa,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_joelho_b2a,estouro/travessia,fisio,0,importante,arco,48,0,0,0,1,30,0,0,0,0,17
fio_joelho_b2b,estouro/travessia,fisio,0,importante,arco,100,3,0,2,7,47,1,0,0,1,39
fio_joelho_b3aa,travessia/auge/declinio,treinador,0,legado,arco,7,0,0,0,0,0,0,0,0,0,7
fio_joelho_b3ab,travessia/auge/declinio,fisio,0,legado,arco,27,0,0,0,0,23,0,0,0,0,4
fio_joelho_b3ba,travessia/auge/declinio,diretor,0,legado,arco,32,0,0,0,0,17,0,0,0,0,15
fio_joelho_b3bb,travessia/auge/declinio,fisio,0,legado,arco,40,0,0,0,2,22,0,0,0,0,16
fio_apostas_b2a,travessia/auge,apostas,0,importante,arco,29,0,0,0,1,22,0,0,0,0,6
fio_apostas_b2b,travessia/auge,apostas,0,importante,arco,48,0,0,0,1,23,0,0,0,0,24
fio_apostas_b3aa,auge/declinio/legado,imprensa,0,legado,arco,15,0,0,0,0,11,0,0,0,0,4
fio_apostas_b3ab,auge/declinio,diretor,0,legado,arco,9,0,0,0,0,8,0,0,0,0,1
fio_apostas_b3ba,auge/declinio/legado,organizada,0,legado,arco,19,0,0,0,0,8,0,0,0,0,11
fio_apostas_b3bb,auge/declinio/legado,empresario,0,legado,arco,20,0,0,0,0,12,0,0,0,0,8
fio_fundo_b2a,travessia/auge,empresario,0,importante,arco,38,0,0,1,0,24,0,0,0,0,13
fio_fundo_b2b,travessia/auge,diretor,0,importante,arco,60,0,0,0,2,32,0,0,0,0,26
fio_fundo_b3aa,auge/declinio/legado,empresario,0,legado,arco,14,0,0,0,0,9,0,0,0,0,5
fio_fundo_b3ab,auge/declinio,diretor,0,legado,arco,15,0,0,0,0,10,0,0,0,0,5
fio_fundo_b3ba,auge/declinio/legado,empresario,0,legado,arco,38,0,0,0,0,23,0,0,0,0,15
fio_fundo_b3bb,auge/declinio,diretor,0,legado,arco,13,0,0,0,0,6,0,0,0,0,7
fio_cicatriz_b2a,travessia/auge,fisio,0,importante,arco,10,0,0,0,0,5,0,0,0,0,5
fio_cicatriz_b2b,travessia/auge,capitao,0,importante,arco,12,0,0,0,0,6,0,0,0,0,6
fio_cicatriz_b3aa,auge/declinio,treinador,0,legado,arco,6,0,0,0,0,2,0,0,0,0,4
fio_cicatriz_b3ab,auge/declinio/legado,fisio,0,legado,arco,3,0,0,0,0,2,0,0,0,0,1
fio_cicatriz_b3ba,auge/declinio,treinador,0,legado,arco,7,0,0,0,0,3,0,0,0,0,4
fio_cicatriz_b3bb,auge/declinio/legado,imprensa,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_microfone_b2a,auge/declinio,imprensa,0,importante,arco,15,0,0,0,0,7,0,0,0,0,8
fio_microfone_b2b,auge/declinio,organizada,0,importante,arco,16,0,0,0,0,9,0,0,0,0,7
fio_microfone_b3aa,declinio,diretor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_microfone_b3ab,declinio/legado,imprensa,0,legado,arco,3,0,0,0,0,2,0,0,0,0,1
fio_microfone_b3ba,declinio/legado,organizada,0,legado,arco,4,0,0,0,0,2,0,0,0,0,2
fio_microfone_b3bb,declinio/legado,sucessor,0,legado,arco,5,0,0,0,0,3,0,0,0,0,2
fio_laranja_b2a,auge/declinio,empresario,0,importante,arco,10,0,0,0,0,8,0,0,0,0,2
fio_laranja_b2b,auge/declinio,diretor,0,importante,arco,5,0,0,0,0,3,0,0,0,0,2
fio_laranja_b3aa,declinio/legado,empresario,0,legado,arco,3,0,0,0,0,2,0,0,0,0,1
fio_laranja_b3ab,declinio/legado,imprensa,0,legado,arco,2,0,0,0,0,1,0,0,0,0,1
fio_laranja_b3ba,declinio,diretor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_laranja_b3bb,declinio/legado,empresario,0,legado,arco,1,0,0,0,0,1,0,0,0,0,0
fio_sucessor_b2a,declinio,treinador,0,importante,arco,0,0,0,0,0,0,0,0,0,0,0
fio_sucessor_b2b,declinio/legado,imprensa,0,importante,arco,14,0,0,0,0,7,0,0,0,0,7
fio_sucessor_b3aa,declinio/legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_sucessor_b3ab,declinio/legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_sucessor_b3ba,legado,coord_base,0,legado,arco,1,0,0,0,0,0,0,0,0,0,1
fio_sucessor_b3bb,declinio/legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b2a,declinio/legado,companheira,0,importante,arco,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b2b,declinio/legado,filho,0,importante,arco,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b3aa,declinio,diretor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b3ab,declinio/legado,filho,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b3ba,declinio/legado,filho,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b3bb,declinio/legado,imprensa,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_licenca_b2a,declinio,treinador,0,importante,arco,2,0,0,0,0,1,0,0,0,0,1
fio_licenca_b2b,declinio,treinador,0,importante,arco,2,0,0,0,0,1,0,0,0,0,1
fio_licenca_b3aa,legado,coord_base,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_licenca_b3ab,legado,coord_base,0,legado,arco,2,0,0,0,0,1,0,0,0,0,1
fio_licenca_b3ba,legado,empresario,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_licenca_b3bb,legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_aptarde_b2a,auge/declinio,imprensa,0,importante,arco,53,0,0,0,1,36,0,0,0,0,16
fio_aptarde_b2b,auge/declinio,apostas,0,importante,arco,44,0,0,0,0,20,0,0,0,0,24
fio_aptarde_b3aa,declinio/legado,organizada,0,legado,arco,14,0,0,0,0,8,0,0,0,0,6
fio_aptarde_b3ab,declinio/legado,empresario,0,legado,arco,15,0,0,0,0,11,0,0,0,0,4
fio_aptarde_b3ba,declinio/legado,sucessor,0,legado,arco,11,0,0,0,0,4,0,0,0,0,7
fio_aptarde_b3bb,declinio/legado,imprensa,0,legado,arco,19,0,0,0,0,10,0,0,0,0,9
fio_valdir_b2a,travessia/auge/declinio,empresario,0,importante,arco,9,0,0,0,0,5,0,0,0,0,4
fio_valdir_b2b,travessia/auge/declinio,mae,0,importante,arco,8,0,0,0,0,1,0,0,0,0,7
fio_valdir_b3aa,auge/declinio/legado,imprensa,0,legado,arco,1,0,0,0,0,1,0,0,0,0,0
fio_valdir_b3ab,auge/declinio/legado,empresario,0,legado,arco,2,0,0,0,0,1,0,0,0,0,1
fio_valdir_b3ba,auge/declinio/legado,companheira,0,legado,arco,2,0,0,0,0,1,0,0,0,0,1
fio_valdir_b3bb,auge/declinio,mae,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fio_voz_b2a,auge/declinio,organizada,0,importante,arco,16,0,0,0,0,6,0,0,0,0,10
fio_voz_b2b,auge/declinio,imprensa,0,importante,arco,40,0,0,0,0,22,0,0,0,0,18
fio_voz_b3aa,declinio/legado,imprensa,0,legado,arco,6,0,0,0,0,3,0,0,0,0,3
fio_voz_b3ab,declinio/legado,sucessor,0,legado,arco,4,0,0,0,0,2,0,0,0,0,2
fio_voz_b3ba,declinio/legado,organizada,0,legado,arco,7,0,0,0,0,5,0,0,0,0,2
fio_voz_b3bb,declinio/legado,imprensa,0,legado,arco,15,0,0,0,0,8,0,0,0,0,7
fio_heranca_b2a,declinio/legado,roupeiro,0,importante,arco,25,0,0,0,0,14,0,0,0,0,11
fio_heranca_b2b,declinio/legado,imprensa,0,importante,arco,12,0,0,0,0,3,0,0,0,0,9
fio_heranca_b3aa,legado,sucessor,0,legado,arco,1,0,0,0,0,0,0,0,0,0,1
fio_heranca_b3ab,legado,coord_base,0,legado,arco,7,0,0,0,0,5,0,0,0,0,2
fio_heranca_b3ba,legado,filho,0,legado,arco,1,0,0,0,0,0,0,0,0,0,1
fio_heranca_b3bb,legado,roupeiro,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0
fisio_base_01,base/estouro,fisio,8,legado,evento,281,24,13,27,26,52,30,13,16,31,49
fisio_base_02,base,fisio,6,padrao,rotina,165,12,12,14,29,20,21,11,11,14,21
fisio_estouro_01,estouro,fisio,10,legado,evento,122,4,0,8,13,43,9,0,0,8,37
fisio_estouro_02,estouro/travessia,fisio,10,importante,evento,180,11,2,9,14,70,15,0,0,4,55
fisio_estouro_03,estouro/travessia,fisio,6,padrao,rotina,127,6,0,7,8,55,5,0,0,3,43
fisio_travessia_01,travessia,fisio,9,padrao,evento,22,0,0,0,0,7,0,0,0,0,15
fisio_travessia_02,travessia/auge,fisio,11,importante,arco,84,0,0,0,2,52,1,0,0,0,29
fisio_travessia_03,travessia/auge,fisio,7,padrao,evento,81,0,0,1,1,46,0,0,0,0,33
fisio_auge_01,auge/declinio,fisio,6,padrao,rotina,37,0,0,0,1,24,0,0,0,0,12
fisio_auge_02,auge,fisio,10,padrao,evento,43,0,0,0,0,28,0,0,0,0,15
fisio_auge_03,auge/declinio,fisio,9,padrao,evento,53,0,0,0,0,29,0,0,0,0,24
fisio_declinio_01,declinio,fisio,16,importante,catastrofica,15,0,0,0,0,10,0,0,0,0,5
