carta,era,cargo,peso_sorteio,peso_dramatico,tipo,total_2000_carreiras,Destro (r1),Destro (r2),Canhoto (r1),Canhoto (r2),Vitinho (r1),Vitinho (r2),Dembele (r1),Dembele (r2),Viciado (r1),Viciado (r2),Elon Musk (r1),Elon Musk (r2),Gabigol (r1),Gabigol (r2),CR7 (r1),CR7 (r2),Diego Ribas (r1),Diego Ribas (r2),Bruno (r1),Bruno (r2)
coord_base_07,base,coord_base,6,padrao,rotina,332,14,20,14,17,15,17,18,22,20,21,22,16,11,12,12,6,22,18,16,19
coord_base_08,base,coord_base,9,padrao,evento,458,28,21,25,15,23,20,20,22,22,37,24,22,22,10,17,18,26,26,35,25
coord_base_09,base,coord_base,11,padrao,evento,599,29,34,25,33,40,27,31,28,34,37,45,28,17,21,21,21,27,37,32,32
coord_base_10,base,coord_base,10,padrao,evento,506,25,27,20,16,23,30,27,26,29,38,28,31,15,12,20,12,33,28,30,36
coord_base_11,base,coord_base,6,padrao,rotina,349,17,10,17,7,14,16,15,19,21,24,16,22,11,19,10,13,22,28,28,20
coord_base_12,base/estouro,coord_base,12,importante,arco,790,40,40,23,31,40,28,41,23,74,80,42,38,20,24,24,24,40,43,59,56
coord_base_legado_05,legado,coord_base,10,padrao,evento,67,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,16,22
coord_base_legado_06,legado,coord_base,6,padrao,rotina,56,0,0,0,0,0,0,0,0,13,20,0,0,0,0,0,0,0,0,9,14
coord_base_legado_01,legado,coord_base,12,legado,arco,66,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,16,21
coord_base_legado_02,legado,coord_base,9,padrao,evento,68,0,0,0,0,0,0,0,0,15,21,0,0,0,0,0,0,0,0,11,21
coord_base_legado_03,legado,coord_base,10,padrao,evento,78,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0,20,18
coord_base_legado_04,legado,coord_base,14,padrao,evento,53,0,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,13,7
curto_estudo_b2,base,coord_base,0,importante,arco,102,0,0,10,7,4,10,7,5,3,5,0,0,3,7,0,0,14,15,6,6
curto_estudo_b3,base,mae,0,importante,arco,23,0,0,2,3,1,4,2,0,2,0,0,0,1,0,0,0,3,1,2,2
curto_pensao_b1,base,mae,3,importante,evento,175,10,7,3,4,4,12,8,10,15,14,8,14,3,9,4,2,10,12,13,13
curto_pensao_b2,base,mae,0,importante,arco,92,6,2,2,1,2,5,5,5,9,8,6,10,0,0,0,1,4,8,10,8
curto_oficina_b1,estouro,mae,3,importante,evento,88,3,3,0,0,4,3,1,2,16,18,1,4,0,0,0,0,6,2,11,14
curto_oficina_b2,estouro,mae,0,importante,arco,56,1,2,0,0,1,2,0,1,10,14,0,1,0,0,0,0,3,2,8,11
curto_apelido_b1,estouro,imprensa,3,importante,evento,93,0,1,1,0,2,4,4,3,14,16,3,8,0,0,0,0,1,4,17,15
curto_apelido_b2,estouro/travessia,roupeiro,0,importante,arco,69,0,1,0,0,1,4,2,0,13,16,1,1,0,0,0,0,0,1,17,12
curto_saudade_b1,travessia,companheira,3,importante,evento,67,0,0,0,0,1,0,2,0,17,19,0,0,0,0,0,0,0,0,11,17
curto_saudade_b2,travessia,empresario,0,importante,arco,47,0,0,0,0,0,0,1,0,14,12,0,0,0,0,0,0,0,0,8,12
curto_idioma_b1,travessia,capitao,3,importante,evento,71,0,1,0,0,0,0,0,2,20,20,1,0,0,0,0,0,0,0,12,15
curto_idioma_b2,travessia/auge,treinador,0,importante,arco,64,0,1,0,0,0,0,0,2,17,18,0,0,0,0,0,0,0,0,11,15
curto_tv_b1,auge,imprensa,3,importante,evento,35,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,5,10
curto_tv_b2,auge,empresario,0,importante,arco,25,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,5,7
curto_investe_b1,auge,roupeiro,3,importante,arco,32,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,10,8
curto_investe_b2,auge/declinio,empresario,0,importante,arco,32,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,10,8
curto_clinica_b1,declinio,fisio,3,importante,evento,18,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,5,4
curto_clinica_b2,declinio,companheira,0,importante,arco,16,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,5,4
curto_irmao_b1,declinio,mae,3,importante,evento,26,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,7,5
curto_irmao_b2,declinio,mae,0,importante,arco,19,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,6,3
curto_escolinha_b1,legado,coord_base,3,importante,evento,21,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,3,9
curto_escolinha_b2,legado,coord_base,0,importante,arco,17,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,2,8
curto_livro_b1,legado,imprensa,3,importante,evento,41,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,5,13
curto_livro_b2,legado,empresario,0,importante,arco,32,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,3,12
diretor_estouro_01,estouro,diretor,11,padrao,evento,154,4,4,0,0,4,6,7,3,35,31,6,9,0,0,0,0,3,0,21,21
diretor_estouro_02,estouro,diretor,9,importante,evento,230,5,0,0,2,5,8,7,10,48,43,8,11,0,0,0,0,6,5,32,40
diretor_estouro_03,estouro/travessia,diretor,6,padrao,rotina,264,3,2,1,1,6,4,5,5,51,68,7,4,0,0,0,0,5,5,46,51
diretor_travessia_01,travessia,diretor,12,importante,arco,72,0,0,0,0,0,2,1,0,11,12,1,0,0,0,0,0,0,0,16,29
diretor_travessia_02,travessia,diretor,9,padrao,evento,46,0,0,0,0,0,2,1,0,6,7,0,0,0,0,0,0,0,0,10,20
diretor_travessia_03,travessia,diretor,9,padrao,evento,62,0,0,0,0,0,1,1,0,8,11,0,0,0,0,0,0,0,0,14,27
diretor_travessia_04,travessia/auge,diretor,6,padrao,rotina,162,0,0,0,0,0,0,3,0,46,41,0,0,0,0,0,0,0,0,31,41
diretor_auge_01,auge,diretor,11,padrao,evento,91,0,0,0,0,0,0,0,0,23,30,0,0,0,0,0,0,0,0,20,18
diretor_auge_02,auge,diretor,12,legado,arco,101,0,0,0,0,0,0,1,0,28,32,0,0,0,0,0,0,0,0,19,21
diretor_auge_03,auge,diretor,10,importante,evento,90,0,0,0,0,0,0,0,0,26,29,0,0,0,0,0,0,0,0,17,18
diretor_auge_04,auge,diretor,10,padrao,evento,93,0,0,0,0,0,0,1,0,29,23,0,0,0,0,0,0,0,0,15,25
diretor_auge_05,auge/declinio,diretor,6,padrao,rotina,83,0,0,0,0,0,0,0,0,23,27,0,0,0,0,0,0,0,0,14,19
diretor_declinio_01,declinio,diretor,13,importante,arco,67,0,0,0,0,0,0,0,0,24,22,0,0,0,0,0,0,0,0,9,12
diretor_declinio_02,declinio,diretor,10,padrao,evento,60,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,7,21
diretor_declinio_03,declinio,diretor,11,padrao,evento,66,0,0,0,0,0,0,0,0,23,17,0,0,0,0,0,0,0,0,8,18
diretor_declinio_04,declinio,diretor,11,padrao,evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valdir_base_01,base,empresario,12,importante,arco,605,31,27,21,22,39,34,24,27,41,34,40,35,19,26,17,21,36,38,36,37
valdir_base_02,base/estouro,empresario,20,importante,arco,255,0,0,21,21,21,21,12,14,19,21,37,32,0,1,0,0,2,3,15,15
valdir_base_03,base,empresario,9,padrao,evento,474,26,13,19,14,28,26,36,27,35,30,19,20,10,21,11,14,23,24,41,37
valdir_base_04,base,empresario,8,padrao,evento,437,21,15,20,21,20,24,23,20,24,32,23,27,12,17,11,15,21,30,29,32
valdir_estouro_01,estouro,empresario,12,importante,arco,48,0,0,0,0,4,5,3,2,8,7,1,2,0,0,0,0,0,2,8,6
valdir_estouro_02,estouro/travessia,empresario,14,legado,evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valdir_estouro_03,estouro/travessia/auge,empresario,7,padrao,evento,342,2,1,0,1,8,9,13,7,88,77,8,5,0,0,0,0,3,6,57,57
valdir_estouro_04,estouro/travessia,empresario,11,legado,arco,377,5,8,2,0,10,19,17,10,76,65,17,11,0,0,0,0,4,7,61,65
valdir_estouro_05,estouro,empresario,9,padrao,evento,230,9,6,0,2,5,11,11,8,40,30,10,15,0,0,0,0,5,3,33,42
valdir_travessia_01,travessia,empresario,10,padrao,evento,63,0,0,0,0,0,1,3,0,10,10,0,0,0,0,0,0,0,0,15,24
valdir_travessia_02,travessia,empresario,11,padrao,evento,174,0,1,0,0,1,0,2,0,49,46,1,0,0,0,0,0,0,0,33,41
valdir_travessia_03,travessia/auge,empresario,10,importante,evento,189,0,0,0,0,1,1,4,0,48,54,0,0,0,0,0,0,0,0,36,45
valdir_travessia_04,travessia/auge/declinio,empresario,6,padrao,rotina,203,0,0,0,0,0,0,1,0,61,57,0,0,0,0,0,0,0,0,33,51
valdir_auge_01,auge,empresario,12,importante,arco,108,0,0,0,0,0,0,0,0,35,28,0,0,0,0,0,0,0,0,19,26
valdir_auge_02,auge,empresario,18,legado,arco,47,0,0,0,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,8,7
valdir_auge_03,auge,empresario,11,legado,arco,65,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,19,21
valdir_auge_04,auge/declinio,empresario,16,padrao,evento,14,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,4
valdir_declinio_01,declinio,empresario,12,importante,arco,81,0,0,0,0,0,0,0,0,21,27,0,0,0,0,0,0,0,0,18,15
valdir_declinio_02,declinio,empresario,11,importante,arco,58,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,12,18
valdir_declinio_03,declinio,empresario,10,padrao,evento,23,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,7,2
valdir_legado_01,legado,empresario,12,importante,arco,64,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,15,19
valdir_legado_02,legado,empresario,9,padrao,evento,25,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,7,5
filho_declinio_01,declinio/legado,filho,12,legado,arco,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
filho_declinio_02,declinio,filho,6,padrao,rotina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filho_declinio_03,declinio,filho,10,padrao,evento,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
filho_declinio_04,declinio,filho,10,padrao,evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filho_declinio_05,declinio,filho,9,padrao,evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filho_declinio_06,declinio,filho,6,padrao,rotina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filho_legado_01,legado,filho,13,importante,arco,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
filho_legado_02,legado,filho,10,legado,evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filho_legado_03,legado,filho,9,padrao,evento,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
filho_legado_04,legado,filho,10,padrao,evento,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fio_peneira_b2,estouro,fisio,0,importante,arco,58,3,0,0,0,0,3,1,0,10,20,3,0,0,0,0,0,1,2,5,10
fio_peneira_b3a,travessia/auge,imprensa,0,legado,arco,36,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,2,6
fio_peneira_b3b,travessia/auge,fisio,0,legado,arco,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
fio_apito_b2,estouro/travessia,treinador,0,importante,arco,55,4,0,0,0,0,0,0,1,15,12,2,1,0,0,0,0,2,1,10,7
fio_apito_b3a,auge/declinio,imprensa,0,legado,arco,26,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,6,5
fio_apito_b3b,auge/declinio,organizada,0,legado,arco,8,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2
fio_tatuagem_b2,travessia/auge,capitao,0,importante,arco,66,0,0,0,0,0,0,1,0,18,20,0,0,0,0,0,0,0,0,11,16
fio_tatuagem_b3a,auge/declinio,imprensa,0,legado,arco,12,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3,3
fio_tatuagem_b3b,auge/declinio,organizada,0,legado,arco,36,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,4,9
fio_carro_b2,travessia/auge,roupeiro,0,importante,arco,47,0,0,0,0,0,0,0,0,8,12,1,0,0,0,0,0,0,0,12,14
fio_carro_b3a,auge/declinio/legado,roupeiro,0,legado,arco,20,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,7,6
fio_carro_b3b,auge/declinio/legado,imprensa,0,legado,arco,18,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,4,6
fio_procuracao_b2,auge,empresario,0,importante,arco,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1
fio_procuracao_b3a,declinio/legado,empresario,0,legado,arco,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
fio_procuracao_b3b,declinio/legado,companheira,0,legado,arco,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
fio_live_b2,auge/declinio,imprensa,0,importante,arco,79,0,0,0,0,0,0,0,0,28,20,0,0,0,0,0,0,0,0,16,15
fio_live_b3a,declinio/legado,organizada,0,legado,arco,23,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,4,5
fio_live_b3b,declinio/legado,imprensa,0,legado,arco,37,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,11,5
fio_var_b2,auge/declinio,imprensa,0,importante,arco,34,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,9,6
fio_var_b3a,declinio/legado,organizada,0,legado,arco,12,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,3,2
fio_var_b3b,declinio/legado,sucessor,0,legado,arco,15,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,2
fio_helicoptero_b2,auge/declinio,apostas,0,importante,arco,23,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,5,7
fio_helicoptero_b3a,declinio/legado,companheira,0,legado,arco,9,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4
fio_helicoptero_b3b,declinio/legado,imprensa,0,legado,arco,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2
fio_selecao_b2,auge/declinio,treinador,0,importante,arco,19,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,2,4
fio_selecao_b3a,declinio/legado,imprensa,0,legado,arco,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
fio_selecao_b3b,declinio/legado,filho,0,legado,arco,9,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,2
fio_duzentos_b2,declinio,sucessor,0,importante,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_duzentos_b3a,declinio/legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_duzentos_b3b,declinio/legado,imprensa,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_joelho_b2a,estouro/travessia,fisio,0,importante,arco,116,0,1,0,0,0,1,1,0,30,42,0,0,0,0,0,0,0,0,17,24
fio_joelho_b2b,estouro/travessia,fisio,0,importante,arco,195,3,2,0,0,2,2,7,2,47,38,1,1,0,0,0,0,1,0,39,50
fio_joelho_b3aa,travessia/auge/declinio,treinador,0,legado,arco,24,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,12
fio_joelho_b3ab,travessia/auge/declinio,fisio,0,legado,arco,57,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,4,7
fio_joelho_b3ba,travessia/auge/declinio,diretor,0,legado,arco,57,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,15,15
fio_joelho_b3bb,travessia/auge/declinio,fisio,0,legado,arco,88,0,0,0,0,0,0,2,0,22,22,0,0,0,0,0,0,0,0,16,26
fio_apostas_b2a,travessia/auge,apostas,0,importante,arco,56,0,0,0,0,0,0,1,0,22,14,0,0,0,0,0,0,0,0,6,13
fio_apostas_b2b,travessia/auge,apostas,0,importante,arco,91,0,1,0,0,0,0,1,0,23,18,0,0,0,0,0,0,0,0,24,24
fio_apostas_b3aa,auge/declinio/legado,imprensa,0,legado,arco,29,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,4,6
fio_apostas_b3ab,auge/declinio,diretor,0,legado,arco,18,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1,6
fio_apostas_b3ba,auge/declinio/legado,organizada,0,legado,arco,35,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,11,13
